,method,n,m,timeGPU,checkGPU,timeCPU,checkCPU,speedup
448,0,5000,4500000,0.067055464,TRUE,7.414787769,TRUE,110.5769366
449,1,5000,4500000,0.151249491,TRUE,7.657907486,TRUE,50.63096368
450,2,5000,4500000,0.054383278,TRUE,10.59574509,TRUE,194.8346164
451,3,5000,4500000,0.080658436,TRUE,32.75198579,TRUE,406.057785
452,0,5000,4500000,0.066331863,TRUE,7.411177635,TRUE,111.7287719
453,1,5000,4500000,0.15184245,TRUE,7.846610785,TRUE,51.67600223
454,2,5000,4500000,0.054726124,TRUE,10.43302917,TRUE,190.6407479
455,3,5000,4500000,0.089380026,TRUE,32.33931637,TRUE,361.8181585
456,0,5000,5000000,0.072105646,TRUE,8.193549395,TRUE,113.6325632
457,1,5000,5000000,0.160321718,TRUE,8.729809999,TRUE,54.45182417
458,2,5000,5000000,0.059752703,TRUE,11.74722528,TRUE,196.5973881
459,3,5000,5000000,0.098755598,TRUE,36.26485133,TRUE,367.2181835
460,0,5000,5000000,0.072344065,TRUE,8.226969004,TRUE,113.7200272
461,1,5000,5000000,0.165718573,TRUE,8.505413771,TRUE,51.32444491
462,2,5000,5000000,0.060467243,TRUE,11.35706282,TRUE,187.8217398
463,3,5000,5000000,0.087547064,TRUE,26.54330969,TRUE,303.1890337
464,0,5000,10000000,0.132297993,TRUE,16.09831166,TRUE,121.6822065
465,1,5000,10000000,0.245844931,TRUE,14.79387188,TRUE,60.17562298
466,2,5000,10000000,0.117970228,TRUE,23.04593515,TRUE,195.3538236
467,3,5000,10000000,0.182833195,TRUE,53.400774,TRUE,292.0737346
468,0,5000,10000000,0.133398533,TRUE,16.18617773,TRUE,121.3369996
469,1,5000,10000000,0.22357694,TRUE,14.55684161,TRUE,65.10886861
470,2,5000,10000000,0.117439747,TRUE,23.53752303,TRUE,200.4221199
471,3,5000,10000000,0.182136774,TRUE,54.20434618,TRUE,297.6024279
472,0,5000,12500000,0.15766716,TRUE,20.14736176,TRUE,127.7841356
473,1,5000,12500000,0.270316708,TRUE,18.4075222,TRUE,68.0961319
474,2,5000,12500000,0.141349077,TRUE,28.9064548,TRUE,204.504022
475,3,5000,12500000,0.237186432,TRUE,67.67404151,TRUE,285.320037
476,0,5000,12500000,0.156569481,TRUE,20.01007199,TRUE,127.8031445
477,1,5000,12500000,0.263059337,TRUE,18.7372458,TRUE,71.22821038
478,2,5000,12500000,0.143459558,TRUE,29.39823794,TRUE,204.9235217
479,3,5000,12500000,0.237842321,TRUE,66.45085669,TRUE,279.3903805
480,0,10000,100000,0.003364563,TRUE,0.462931871,TRUE,137.5904904
481,1,10000,100000,0.011510854,TRUE,0.529046297,TRUE,45.96064698
482,2,10000,100000,0.003719091,TRUE,0.551866531,TRUE,148.3874607
483,3,10000,100000,0.003591299,TRUE,2.043239832,TRUE,568.9417115
484,0,10000,100000,0.002958536,TRUE,0.468847275,TRUE,158.4727214
485,1,10000,100000,0.010690309,TRUE,0.458540201,TRUE,42.89307271
